fold,r2,pearson_r,mse,rmse
0,0.4955365464728886,0.7071278471506246,0.23847743897702264,0.48834151879296794
1,0.5336473141998186,0.7369823654429968,0.2205653618910011,0.4696438670854769
2,0.4927357198187039,0.7044137508532713,0.24958914940553403,0.4995889804684787
3,0.5524338994512115,0.753821564015981,0.21669001946047656,0.46549975237423763
4,0.5439863866689088,0.7465496747905151,0.22101799798656677,0.4701255130138831
5,0.5245497270666517,0.7276394563415014,0.2229086390889875,0.472132014471575
6,0.5492112441486938,0.7471346572764762,0.21787474961790235,0.4667705535034342
7,0.48575018004592707,0.6994166661654686,0.2317518899220776,0.48140615899890354
8,0.5092752705640416,0.7142507763427919,0.21491118777913248,0.463585146202003
9,0.5078336749784663,0.7151159541185469,0.23244195165783943,0.4821223409652776
