fold,r2,pearson_r,mse,rmse
0,0.4357315323337414,0.6815745696655744,0.2667493514618028,0.5164778324979715
1,0.4350455498274717,0.6756935154376349,0.26719988229600716,0.5169138054801856
2,0.4205079376486369,0.6620494362796442,0.2851273716293269,0.5339731937366584
3,0.4410580162058856,0.6875341625364932,0.27061287527610955,0.5202046474956846
4,0.44994010236681425,0.6967706358911174,0.26659979832512964,0.5163330304417195
5,0.46259637226738337,0.7029817002160667,0.25195465881277485,0.5019508529854042
6,0.4525194912038706,0.6958287267216597,0.26460770643974096,0.5144003367414731
7,0.4090697944359645,0.6483720379942055,0.2663086823515812,0.5160510462653682
8,0.41571097340467045,0.652089153372791,0.2558873461629833,0.505853087529357
9,0.4349917178592828,0.6745878003467807,0.2668439938427022,0.5165694472601938
